,ds,team,t,j,elo
413,1997-01-25,Toluca,2,3,1520.422781553282
414,1997-01-25,Pachuca,2,3,1466.9854196436788
415,1997-01-25,Leon,2,3,1496.3062488969238
416,1997-01-25,Cruz Azul,2,3,1472.3635075690443
417,1997-01-25,Veracruz,2,3,1496.1237100848336
418,1997-01-25,Monterrey,2,3,1490.1289644939475
419,1997-01-25,Atlas,2,3,1516.6837227612805
420,1997-01-25,Atlante,2,3,1528.1109317713929
421,1997-01-26,Morelia,2,3,1442.013020609787
422,1997-01-26,Santos,2,3,1550.7130288096416
423,1997-01-26,America,2,3,1478.4194753106572
424,1997-01-26,Guadalajara,2,3,1520.9979529169243
425,1997-01-26,Toros Neza,2,3,1515.6677596048949
426,1997-01-26,UAG,2,3,1455.9916277338975
427,1997-02-01,Monterrey,2,4,1502.4433376056927
428,1997-02-01,Necaxa,2,4,1559.707795786922
429,1997-02-01,Cruz Azul,2,4,1482.5377946817462
430,1997-02-01,America,2,4,1468.2451881979553
431,1997-02-01,UAG,2,4,1457.4090721319021
432,1997-02-01,UNAM,2,4,1504.1550951868685
433,1997-02-01,Celaya,2,4,1457.9684966070067
434,1997-02-01,Atlas,2,4,1504.6758038746343
435,1997-02-02,Puebla,2,4,1524.677796965003
436,1997-02-02,Leon,2,4,1497.145013967834
437,1997-02-02,Atlante,2,4,1537.8896851310703
438,1997-02-02,Toluca,2,4,1510.6440281936045
439,1997-02-02,Guadalajara,2,4,1528.7629549169653
440,1997-02-02,Morelia,2,4,1434.248018609746
441,1997-02-02,Pachuca,2,4,1478.3775114518064
442,1997-02-02,Toros Neza,2,4,1504.2756677967673
443,1997-02-02,Santos,2,4,1559.154624918634
444,1997-02-02,Veracruz,2,4,1487.6821139758413
445,1997-02-07,Necaxa,2,5,1567.6639256094113
446,1997-02-07,Veracruz,2,5,1479.7259841533519
447,1997-02-08,Toluca,2,5,1519.1394153919346
448,1997-02-08,Celaya,2,5,1449.4731094086767
449,1997-02-08,Leon,2,5,1506.0062822942623
450,1997-02-08,UAG,2,5,1448.547803805474
451,1997-02-08,America,2,5,1479.8553145066799
452,1997-02-08,Puebla,2,5,1513.0676706562783
453,1997-02-08,Atlas,2,5,1504.6115492145486
454,1997-02-08,Monterrey,2,5,1502.5075922657784
455,1997-02-09,Toros Neza,2,5,1495.24014956662
456,1997-02-09,Atlante,2,5,1546.9252033612177
457,1997-02-09,Guadalajara,2,5,1529.6354732007114
458,1997-02-09,Santos,2,5,1558.282106634888
459,1997-02-09,UNAM,2,5,1513.4145150851064
460,1997-02-09,Pachuca,2,5,1469.1180915535685
461,1997-02-26,Morelia,2,5,1445.6290287460897
462,1997-02-26,Cruz Azul,2,5,1471.1567845454024
463,1997-02-14,UAG,2,6,1449.4464753521127
464,1997-02-14,America,2,6,1478.956642960041
465,1997-02-15,Puebla,2,6,1521.150645768153
466,1997-02-15,Morelia,2,6,1437.546053634215
467,1997-02-15,Monterrey,2,6,1492.985929292344
468,1997-02-15,Toluca,2,6,1528.661078365369
469,1997-02-15,Celaya,2,6,1450.7828239429596
470,1997-02-15,Toros Neza,2,6,1493.930435032337
471,1997-02-16,Veracruz,2,6,1470.4410259074389
472,1997-02-16,Atlas,2,6,1513.8965074604616
473,1997-02-16,Santos,2,6,1548.5520714782685
474,1997-02-16,Necaxa,2,6,1577.3939607660307
475,1997-02-16,Pachuca,2,6,1460.17584744217
476,1997-02-16,Leon,2,6,1514.948526405661
477,1997-02-16,Cruz Azul,2,6,1472.824220012264
478,1997-02-16,Guadalajara,2,6,1527.9680377338498
479,1997-02-16,Atlante,2,6,1535.963668059805
480,1997-02-16,UNAM,2,6,1524.376050386519
481,1997-02-22,Cruz Azul,2,7,1484.9699701409675
482,1997-02-22,Santos,2,7,1536.4063213495651
483,1997-02-22,Atlas,2,7,1505.7040311714559
484,1997-02-22,Necaxa,2,7,1585.5864370550364
485,1997-02-22,Leon,2,7,1505.5526542281366
486,1997-02-22,Atlante,2,7,1545.3595402373294
487,1997-02-22,Toluca,2,7,1537.0008809710573
488,1997-02-22,Veracruz,2,7,1462.1012233017505
489,1997-02-22,Morelia,2,7,1427.8884414175875
490,1997-02-22,UAG,2,7,1459.1040875687402
491,1997-02-23,Toros Neza,2,7,1503.9032500388407
492,1997-02-23,Monterrey,2,7,1483.0131142858404
493,1997-02-23,UNAM,2,7,1532.2889875140909
494,1997-02-23,Celaya,2,7,1442.8698868153876
495,1997-02-24,America,2,7,1488.4166140972775
496,1997-02-24,Pachuca,2,7,1450.7158763049335
497,1997-03-25,Guadalajara,2,7,1527.7718425992398
498,1997-03-25,Puebla,2,7,1521.346840902763
499,1997-03-01,Puebla,2,8,1530.303639580896
500,1997-03-01,Cruz Azul,2,8,1476.0131714628344
501,1997-03-01,Monterrey,2,8,1484.4219542955113
502,1997-03-01,UNAM,2,8,1530.88014750442
503,1997-03-01,Celaya,2,8,1444.6547185025765
504,1997-03-01,Leon,2,8,1503.7678225409477
505,1997-03-01,Veracruz,2,8,1453.2986101577014
506,1997-03-01,Toros Neza,2,8,1512.7058631828897
507,1997-03-02,Santos,2,8,1545.5249314548341
508,1997-03-02,Atlas,2,8,1496.5854210661869
509,1997-03-02,Pachuca,2,8,1450.0597937094774
510,1997-03-02,Morelia,2,8,1428.5445240130437
511,1997-03-05,UAG,2,8,1451.0551658508866
512,1997-03-05,Guadalajara,2,8,1535.8207643170933
513,1997-03-05,Necaxa,2,8,1584.1970770327591
514,1997-03-05,Toluca,2,8,1538.3902409933346
515,1997-03-06,Atlante,2,8,1533.7351099973957
516,1997-03-06,America,2,8,1500.0410443372111
517,1997-03-08,Cruz Azul,2,9,1465.2960553933694
518,1997-03-08,UAG,2,9,1461.7722819203516
519,1997-03-08,Puebla,2,9,1520.741463501184
520,1997-03-08,Santos,2,9,1555.0871075345462
521,1997-03-08,Toluca,2,9,1547.1927748956316
522,1997-03-08,Atlas,2,9,1487.7828871638899
523,1997-03-08,Leon,2,9,1503.211578447379
524,1997-03-08,Monterrey,2,9,1484.97819838908
525,1997-03-09,Toros Neza,2,9,1524.7349881310715
526,1997-03-09,Necaxa,2,9,1572.1679520845773
527,1997-03-09,Guadalajara,2,9,1543.4013058651979
528,1997-03-09,Pachuca,2,9,1442.4792521613729
529,1997-03-09,Morelia,2,9,1431.4829135467567
530,1997-03-09,Atlante,2,9,1530.7967204636827
531,1997-03-09,UNAM,2,9,1538.683559209765
532,1997-03-09,Veracruz,2,9,1445.4951984523564
533,1997-03-10,America,2,9,1508.460265894545
534,1997-03-10,Celaya,2,9,1436.2354969452426
535,1997-03-15,Celaya,2,10,1426.098715130409
536,1997-03-15,Morelia,2,10,1441.6196953615904
537,1997-03-15,Veracruz,2,10,1447.1412951744874
538,1997-03-15,Leon,2,10,1501.565481725248
539,1997-03-16,Santos,2,10,1564.8599294705873
540,1997-03-16,Toluca,2,10,1537.4199529595905
541,1997-03-19,Pachuca,2,10,1433.1350300697538
542,1997-03-19,Cruz Azul,2,10,1474.6402774849885
543,1997-03-19,Atlante,2,10,1521.1593505152518
544,1997-03-19,Guadalajara,2,10,1553.0386758136287
545,1997-03-19,UAG,2,10,1463.4534391539812
546,1997-03-19,Puebla,2,10,1519.0603062675543
547,1997-03-20,Atlas,2,10,1478.8424619202424
548,1997-03-20,Toros Neza,2,10,1533.675413374719
